ZIP Code,County,SCAN Affirm,SCAN Inspired,SAN Allied,SCAN Strive ,SCAN Balance 
90732,Los Angeles,Yes,Yes,Yes,Yes,Yes
90733,Los Angeles,Yes,Yes,Yes,Yes,Yes
90734,Los Angeles,Yes,Yes,Yes,Yes,Yes
90744,Los Angeles,Yes,Yes,Yes,Yes,Yes
90745,Los Angeles,Yes,Yes,Yes,Yes,Yes
90746,Los Angeles,Yes,Yes,Yes,Yes,Yes
90747,Los Angeles,Yes,Yes,Yes,Yes,Yes
90748,Los Angeles,Yes,Yes,Yes,Yes,Yes
90749,Los Angeles,Yes,Yes,Yes,Yes,Yes
90755,Los Angeles,Yes,Yes,Yes,Yes,Yes
90801,Los Angeles,Yes,Yes,Yes,Yes,Yes
90802,Los Angeles,Yes,Yes,Yes,Yes,Yes
90803,Los Angeles,Yes,Yes,Yes,Yes,Yes
90804,Los Angeles,Yes,Yes,Yes,Yes,Yes
90805,Los Angeles,Yes,Yes,Yes,Yes,Yes
90806,Los Angeles,Yes,Yes,Yes,Yes,Yes
90807,Los Angeles,Yes,Yes,Yes,Yes,Yes
90808,Los Angeles,Yes,Yes,Yes,Yes,Yes
90809,Los Angeles,Yes,Yes,Yes,Yes,Yes
90810,Los Angeles,Yes,Yes,Yes,Yes,Yes
90813,Los Angeles,Yes,Yes,Yes,Yes,Yes
90814,Los Angeles,Yes,Yes,Yes,Yes,Yes
90815,Los Angeles,Yes,Yes,Yes,Yes,Yes
90822,Los Angeles,Yes,Yes,Yes,Yes,Yes
90831,Los Angeles,Yes,Yes,Yes,Yes,Yes
90832,Los Angeles,Yes,Yes,Yes,Yes,Yes
90833,Los Angeles,Yes,Yes,Yes,Yes,Yes
90834,Los Angeles,Yes,Yes,Yes,Yes,Yes
90835,Los Angeles,Yes,Yes,Yes,Yes,Yes
90840,Los Angeles,Yes,Yes,Yes,Yes,Yes
90842,Los Angeles,Yes,Yes,Yes,Yes,Yes
90844,Los Angeles,Yes,Yes,Yes,Yes,Yes
90845,Los Angeles,Yes,Yes,Yes,Yes,Yes
90846,Los Angeles,Yes,Yes,Yes,Yes,Yes
90847,Los Angeles,Yes,Yes,Yes,Yes,Yes
90848,Los Angeles,Yes,Yes,Yes,Yes,Yes
90853,Los Angeles,Yes,Yes,Yes,Yes,Yes
90888,Los Angeles,Yes,Yes,Yes,Yes,Yes
90895,Los Angeles,Yes,Yes,Yes,Yes,Yes
90899,Los Angeles,Yes,Yes,Yes,Yes,Yes
91001,Los Angeles,Yes,Yes,Yes,Yes,Yes
91003,Los Angeles,Yes,Yes,Yes,Yes,Yes
91006,Los Angeles,Yes,Yes,Yes,Yes,Yes
91007,Los Angeles,Yes,Yes,Yes,Yes,Yes
91008,Los Angeles,Yes,Yes,Yes,Yes,Yes
91009,Los Angeles,Yes,Yes,Yes,Yes,Yes
91010,Los Angeles,Yes,Yes,Yes,Yes,Yes
